code,section,date,open,high,low,close,vol,value,n_stock,foreign_vol,agency_buy,agency_netbuy,weekday,year,month,day
A003490,KOSPI,2002-01-04,5817,5967,5790,5865,1279628,13055000000,60010000,10139227,0,0,6,2002,1,4
A003490,KOSPI,2002-01-07,5899,6294,5831,6267,2768074,29594000000,60010000,10456634,0,0,2,2002,1,7
A003490,KOSPI,2002-01-08,6308,6445,6138,6138,1788884,19504000000,60010000,10514679,0,0,3,2002,1,8
A003490,KOSPI,2002-01-09,6138,6240,6015,6206,1150046,12275000000,60010000,10516362,0,0,4,2002,1,9
A003490,KOSPI,2002-01-10,6138,6138,5940,5940,1434276,15040000000,60010000,10325368,0,0,5,2002,1,10
A003490,KOSPI,2002-01-11,6008,6042,5865,5913,935853,9704000000,60010000,10323263,0,0,6,2002,1,11
A003490,KOSPI,2002-01-14,5797,6138,5735,6001,928413,9652000000,60010000,10380505,0,0,2,2002,1,14
A003490,KOSPI,2002-01-15,5831,5994,5831,5906,515770,5318000000,60010000,10401356,0,0,3,2002,1,15
A003490,KOSPI,2002-01-16,6131,6786,6069,6710,8417493,96317000000,60010000,10538586,0,0,4,2002,1,16
A003490,KOSPI,2002-01-17,6717,7161,6117,7161,7744029,88854000000,60010000,11533973,0,0,5,2002,1,17
A003490,KOSPI,2002-01-18,6820,7161,6690,7092,3440619,41414000000,60010000,11910128,0,0,6,2002,1,18
A003490,KOSPI,2002-01-21,7161,8115,7024,7706,6220940,83129000000,60010000,12052138,0,0,2,2002,1,21
A003490,KOSPI,2002-01-22,7502,8184,7365,7502,4304457,58195000000,60010000,12093008,0,0,3,2002,1,22
A003490,KOSPI,2002-01-23,7706,7843,7433,7638,2201042,29254000000,60010000,12139040,0,0,4,2002,1,23
A003490,KOSPI,2002-01-24,7706,8320,7536,8184,4259511,59328000000,60010000,12567282,0,0,5,2002,1,24
A003490,KOSPI,2002-01-25,8354,9070,8115,8525,6930601,1.04E+11,60010000,12957639,0,0,6,2002,1,25
A003490,KOSPI,2002-01-28,8866,8900,8525,8627,1725945,26202000000,60010000,12967065,0,0,2,2002,1,28
A003490,KOSPI,2002-01-29,8729,8832,8320,8763,1312939,19695000000,60010000,12969052,0,0,3,2002,1,29
A003490,KOSPI,2002-01-30,8252,8559,7979,8184,1242875,18016000000,60010000,12861487,0,0,4,2002,1,30
A003490,KOSPI,2002-01-31,8320,8525,8184,8252,806953,11718000000,60010000,12859189,0,0,5,2002,1,31
A003490,KOSPI,2002-02-01,8150,8218,7570,7706,1612545,21998000000,60010000,12611666,0,0,6,2002,2,1
A003490,KOSPI,2002-02-04,7502,7809,7263,7365,1034087,13480000000,60010000,12583971,0,0,2,2002,2,4
A003490,KOSPI,2002-02-05,7161,8354,7127,8286,2515079,33773000000,60010000,12815386,0,0,3,2002,2,5
A003490,KOSPI,2002-02-06,8047,8422,7672,7843,2470036,34320000000,60010000,12273178,0,0,4,2002,2,6
A003490,KOSPI,2002-02-07,7706,8047,7638,7706,833277,11388000000,60010000,12322533,0,0,5,2002,2,7
A003490,KOSPI,2002-02-08,7979,8081,7809,7877,903751,12506000000,60010000,12297565,0,0,6,2002,2,8
A003490,KOSPI,2002-02-14,8184,8525,8150,8525,1920564,28064000000,60010000,12569414,0,0,5,2002,2,14
A003490,KOSPI,2002-02-15,8456,8797,8388,8661,1472820,22110000000,60010000,12616638,0,0,6,2002,2,15
A003490,KOSPI,2002-02-18,8797,9514,8695,9411,2970121,47469000000,60010000,13130755,0,0,2,2002,2,18
A003490,KOSPI,2002-02-19,9445,9752,9104,9445,2160944,35338000000,60010000,13333728,0,0,3,2002,2,19
A003490,KOSPI,2002-02-20,9548,10059,9411,9855,2117652,36399000000,60010000,13698334,0,0,4,2002,2,20
A003490,KOSPI,2002-02-21,10230,11321,10059,11082,4236116,80590000000,60010000,14587588,0,0,5,2002,2,21
A003490,KOSPI,2002-02-22,11082,11219,10093,10366,2927923,53440000000,60010000,14220554,0,0,6,2002,2,22
A003490,KOSPI,2002-02-25,10571,10741,10230,10366,1141380,20873000000,60010000,14140651,0,0,2,2002,2,25
A003490,KOSPI,2002-02-26,10571,11014,10571,10639,1498382,28109000000,60010000,14113048,0,0,3,2002,2,26
A003490,KOSPI,2002-02-27,10639,11491,10639,11491,2147995,41946000000,60010000,14458790,0,0,4,2002,2,27
A003490,KOSPI,2002-02-28,11798,12105,11219,11355,1952664,39333000000,60010000,14346370,0,0,5,2002,2,28
A003490,KOSPI,2002-03-04,11867,11867,11457,11560,1084133,21880000000,60010000,14421651,0,0,2,2002,3,4
A003490,KOSPI,2002-03-05,11594,12003,11355,11730,1695443,34429000000,60010000,14512641,0,0,3,2002,3,5
A003490,KOSPI,2002-03-06,11594,11935,11423,11662,1231557,25108000000,60010000,14647067,0,0,4,2002,3,6
A003490,KOSPI,2002-03-07,12003,12003,11219,11219,877677,17591000000,60010000,14585616,0,0,5,2002,3,7
A003490,KOSPI,2002-03-08,11014,11423,10571,11389,1070875,20420000000,60010000,14411011,0,0,6,2002,3,8
